full_address,latitude,longitude,location_type
"1 WARDS IS, NEW YORK, NY 10035, USA",40.632836,-74.0829975,GEOMETRIC_CENTER
"125 BROAD STREET, NEW YORK, NY 10004, USA",40.7024394,-74.0111395,ROOFTOP
"17 STATE ST, NEW YORK, NY 10004, USA",40.7030069,-74.0140503,ROOFTOP
"50 WATER ST FL 6, NEW YORK, NY 10004, USA",40.7037027,-74.0099832,ROOFTOP
"90 BROAD ST RM 1038, NEW YORK, NY 10004, USA",40.7038252,-74.011978,ROOFTOP
"1 NEW YORK PLZ, NEW YORK, NY 10004, USA",40.7038704,-74.0138541,APPROXIMATE
"120 WALL ST STE 175, NEW YORK, NY 10005, USA",40.7047463,-74.0060156,ROOFTOP
"42 BROADWAY FL 12, NEW YORK, NY 10004, USA",40.70597960000001,-74.01260289999999,ROOFTOP
"42 BROADWAY, NEW YORK, NY 10004, USA",40.7059925,-74.01296099999999,ROOFTOP
"60 WALL ST, NEW YORK, NY 10005, USA",40.7062255,-74.00839119999999,ROOFTOP
"39 BROADWAY RM 630, NEW YORK, NY 10006, USA",40.7062925,-74.01307650000001,ROOFTOP
"24 BROAD STREET, NEW YORK, NY 10005, USA",40.7064941,-74.01126649999999,ROOFTOP
"90 MAIDEN LN, NEW YORK, NY 10038, USA",40.7067114,-74.0074489,ROOFTOP
"160 WATER ST, NEW YORK, NY 10038, USA",40.7070356,-74.0060225,ROOFTOP
"65 BROADWAY FLOOR 14, NEW YORK, NY 10006, USA",40.7071688,-74.0124148,ROOFTOP
"80 MAIDEN LN, NEW YORK, NY 10038, USA",40.7072072,-74.0075755,ROOFTOP
"65 BROADWAY FL 21, NEW YORK, NY 10006, USA",40.7072168,-74.0124979,ROOFTOP
"65 BROADWAY STE 1804, NEW YORK, NY 10006, USA",40.7072168,-74.0124979,ROOFTOP
"83 MAIDEN LN, NEW YORK, NY 10038, USA",40.7075186,-74.0075098,ROOFTOP
"75 MAIDEN LN, NEW YORK, NY 10038, USA",40.7076971,-74.0076924,ROOFTOP
"75 MAIDEN LN FL 10, NEW YORK, NY 10038, USA",40.7076971,-74.0076924,ROOFTOP
"2 RECTOR ST # 1301, NEW YORK, NY 10006, USA",40.7080325,-74.0131552,ROOFTOP
"115 BROADWAY STE 1800, NEW YORK, NY 10006, USA",40.708825,-74.0112237,ROOFTOP
"150 BROADWAY RM 712, NEW YORK, NY 10038, USA",40.7091691,-74.01010409999999,ROOFTOP
"150 BROADWAY RM 900, NEW YORK, NY 10038, USA",40.7091865,-74.01011919999999,ROOFTOP
"150 BROADWAY, NEW YORK, NY 10038, USA",40.7093047,-74.0102576,ROOFTOP
"160 BROADWAY BLDG 6TH FLOOR, NEW YORK, NY 10038, USA",40.7093746,-74.0099791,ROOFTOP
"106 LIBERTY ST, NEW YORK, NY 10006, USA",40.7096074,-74.011949,ROOFTOP
"170 BROADWAY, NEW YORK, NY 10038, USA",40.7096145,-74.0098708,ROOFTOP
